date,snapshot_type,security,jq_quantity,alignment_status
2026-05-21,END_OF_DAY,301098.XSHE,7500,JQ_POSITION
2026-05-21,END_OF_DAY,301167.XSHE,4600,JQ_POSITION
2026-05-21,END_OF_DAY,600455.XSHG,2700,JQ_POSITION
2026-05-21,END_OF_DAY,600493.XSHG,8100,JQ_POSITION
2026-05-21,END_OF_DAY,600561.XSHG,11600,JQ_POSITION
2026-05-21,END_OF_DAY,600697.XSHG,6400,JQ_POSITION
2026-05-22,END_OF_DAY,300405.XSHE,8400,JQ_POSITION
2026-05-22,END_OF_DAY,300417.XSHE,6600,JQ_POSITION
2026-05-22,END_OF_DAY,300500.XSHE,1600,JQ_POSITION
2026-05-22,END_OF_DAY,300535.XSHE,3200,JQ_POSITION
2026-05-22,END_OF_DAY,300665.XSHE,6200,JQ_POSITION
2026-05-22,END_OF_DAY,300929.XSHE,7300,JQ_POSITION
2026-05-22,END_OF_DAY,301098.XSHE,9400,JQ_POSITION
2026-05-22,END_OF_DAY,301167.XSHE,5800,JQ_POSITION
2026-05-22,END_OF_DAY,600455.XSHG,3300,JQ_POSITION
2026-05-22,END_OF_DAY,600493.XSHG,11000,JQ_POSITION
2026-05-22,END_OF_DAY,600561.XSHG,14600,JQ_POSITION
2026-05-22,END_OF_DAY,600697.XSHG,8100,JQ_POSITION
2026-05-22,END_OF_DAY,603879.XSHG,3600,JQ_POSITION
2026-05-25,END_OF_DAY,300405.XSHE,8400,JQ_POSITION
2026-05-25,END_OF_DAY,300417.XSHE,6600,JQ_POSITION
2026-05-25,END_OF_DAY,300500.XSHE,1600,JQ_POSITION
2026-05-25,END_OF_DAY,300535.XSHE,3200,JQ_POSITION
2026-05-25,END_OF_DAY,300665.XSHE,6200,JQ_POSITION
2026-05-25,END_OF_DAY,300929.XSHE,7300,JQ_POSITION
2026-05-25,END_OF_DAY,301098.XSHE,9400,JQ_POSITION
2026-05-25,END_OF_DAY,301167.XSHE,5800,JQ_POSITION
2026-05-25,END_OF_DAY,600455.XSHG,3300,JQ_POSITION
2026-05-25,END_OF_DAY,600493.XSHG,11000,JQ_POSITION
2026-05-25,END_OF_DAY,600561.XSHG,14600,JQ_POSITION
2026-05-25,END_OF_DAY,600697.XSHG,8100,JQ_POSITION
2026-05-25,END_OF_DAY,603879.XSHG,3600,JQ_POSITION
2026-05-26,END_OF_DAY,300405.XSHE,8400,JQ_POSITION
2026-05-26,END_OF_DAY,300417.XSHE,6600,JQ_POSITION
2026-05-26,END_OF_DAY,300500.XSHE,1600,JQ_POSITION
2026-05-26,END_OF_DAY,300535.XSHE,3200,JQ_POSITION
2026-05-26,END_OF_DAY,300665.XSHE,6200,JQ_POSITION
2026-05-26,END_OF_DAY,300929.XSHE,7300,JQ_POSITION
