date,security,side,jq_quantity,jq_price,local_filled_quantity,local_filled_price,order_intent_buy_target,order_intent_sell_target,rejection_reason,alignment
2026-05-27,603879.XSHG,buy,3600,5.3,0,,,,limit down,LOCAL=0
2026-05-27,300605.XSHE,buy,1600,11.52,0,,,,,LOCAL=0
2026-06-01,301098.XSHE,sell,2100,9.94,0,,,,limit down,LOCAL=0
2026-06-01,300665.XSHE,sell,2000,9.54,0,,,,,LOCAL=0
2026-06-01,300929.XSHE,buy,200,12.02,0,,,,limit down,LOCAL=0
2026-06-01,300405.XSHE,sell,2700,6.4,0,,,,limit down,LOCAL=0
2026-06-01,600561.XSHG,buy,300,5.99,0,,,,,LOCAL=0
2026-06-01,301167.XSHE,buy,100,15.0,0,,,,limit down,LOCAL=0
2026-06-01,600697.XSHG,sell,1800,11.35,0,,,,,LOCAL=0
2026-06-01,300535.XSHE,buy,1200,16.33,0,,,,,LOCAL=0
2026-06-01,603879.XSHG,buy,3700,4.94,0,,,,limit down,LOCAL=0
2026-06-01,300605.XSHE,buy,1600,10.96,0,,,,,LOCAL=0
2026-06-01,300886.XSHE,buy,700,24.11,0,,,,,LOCAL=0
2026-06-04,301098.XSHE,sell,1400,9.09,0,,,,limit down,LOCAL=0
2026-06-04,600455.XSHG,buy,100,25.7,0,,,,limit down,LOCAL=0
2026-06-04,300665.XSHE,sell,1900,9.81,0,,,,,LOCAL=0
2026-06-04,300405.XSHE,buy,2700,6.24,0,,,,limit down,LOCAL=0
2026-06-04,600697.XSHG,sell,100,11.25,0,,,,limit down,LOCAL=0
2026-06-04,300535.XSHE,buy,100,15.66,0,,,,limit down,LOCAL=0
2026-06-04,603879.XSHG,sell,300,5.0,0,,,,limit down,LOCAL=0
2026-06-04,300605.XSHE,buy,1600,10.83,0,,,,,LOCAL=0
2026-06-09,301098.XSHE,buy,100,8.26,0,,,,limit down,LOCAL=0
2026-06-09,600697.XSHG,sell,1600,11.1,0,,,,limit down,LOCAL=0
2026-06-09,600493.XSHG,sell,200,6.19,0,,,,limit down,LOCAL=0
2026-06-09,603879.XSHG,buy,3600,4.8,0,,,,limit down,LOCAL=0
2026-06-09,301098.XSHE,buy,100,8.26,0,,,,limit down,LOCAL=0
2026-06-12,301098.XSHE,sell,2200,8.74,0,,,,limit down,LOCAL=0
2026-06-12,300417.XSHE,buy,300,11.52,0,,,,limit down,LOCAL=0
2026-06-12,300405.XSHE,buy,2700,6.01,0,,,,limit down,LOCAL=0
2026-06-12,600697.XSHG,sell,1500,10.76,0,,,,limit down,LOCAL=0
2026-06-12,600493.XSHG,buy,100,6.04,0,,,,limit down,LOCAL=0
2026-06-12,603879.XSHG,sell,100,4.8,0,,,,limit down,LOCAL=0
2026-06-12,300605.XSHE,buy,1600,10.36,0,,,,,LOCAL=0
2026-06-17,301098.XSHE,sell,1800,8.21,0,,,,limit down,LOCAL=0
2026-06-17,300417.XSHE,buy,1300,11.44,0,,,,limit down,LOCAL=0
2026-06-17,603879.XSHG,sell,3700,4.79,0,,,,limit down,LOCAL=0
