record_date,record_time,snapshot_type,source_sequence,source_line_no,available_cash,total_asset,reported_position_market_value,calculated_position_market_value,cash_ratio,raw_security_code,normalized_security_code,security_name,position_quantity,available_quantity,cost_basis,market_price,market_value,is_defensive_etf,pnl,raw_text,parse_status
2026-05-14,,position,0,94,,,598920.0,,,301167.XSHE,301167.XSHE,建研设计,3400,,,17.55,59670.0,False,-1008.0,"建研设计(301167.XSHE)	3400股	17.55	59,670.00	-1,008.00",parsed
2026-05-14,,position,0,95,,,598920.0,,,300500.XSHE,300500.XSHE,启迪设计,1600,,,12.26,19616.0,False,560.0,"启迪设计(300500.XSHE)	1600股	12.26	19,616.00	560.00",parsed
2026-05-14,,position,0,96,,,598920.0,,,600455.XSHG,600455.XSHG,博通股份,2000,,,29.05,58100.0,False,188.0,"博通股份(600455.XSHG)	2000股	29.05	58,100.00	188.00",parsed
2026-05-14,,position,0,97,,,598920.0,,,300417.XSHE,300417.XSHE,南华仪器,3900,,,15.14,59046.0,False,706.0,"南华仪器(300417.XSHE)	3900股	15.14	59,046.00	706.00",parsed
2026-05-14,,position,0,98,,,598920.0,,,300929.XSHE,300929.XSHE,华骐环保,4200,,,14.21,59682.0,False,-713.0,"华骐环保(300929.XSHE)	4200股	14.21	59,682.00	-713.00",parsed
2026-05-14,,position,0,99,,,598920.0,,,600493.XSHG,600493.XSHG,凤竹纺织,5400,,,7.3,39420.0,False,-1158.0,"凤竹纺织(600493.XSHG)	5400股	7.3	39,420.00	-1,158.00",parsed
2026-05-14,,cash_summary,0,100,410485.0,,598920.0,,,,,Cash,,,,,410485.0,False,410485.0,"Cash	 	 	410,485.00	0.00",parsed
2026-05-14,,total_summary,0,101,,1009405.0,598920.0,,,,,Total,,,,,1009405.0,False,,"总共:1,009,405.00	9,555.00",parsed
2026-05-15,,position,0,103,,,590410.0,,,300665.XSHE,300665.XSHE,飞鹿股份,6500,,,10.05,65325.0,False,7031.0,"飞鹿股份(300665.XSHE)	6500股	10.05	65,325.00	7,031.00",parsed
2026-05-15,,position,0,104,,,590410.0,,,301098.XSHE,301098.XSHE,金埔园林,5500,,,10.49,57695.0,False,2756.0,"金埔园林(301098.XSHE)	5500股	10.49	57,695.00	2,756.00",parsed
2026-05-15,,position,0,105,,,590410.0,,,300535.XSHE,300535.XSHE,达威股份,1000,,,17.98,17980.0,False,-550.0,"达威股份(300535.XSHE)	1000股	17.98	17,980.00	-550.00",parsed
2026-05-15,,position,0,106,,,590410.0,,,300405.XSHE,300405.XSHE,科隆股份,5600,,,7.19,40264.0,False,420.0,"科隆股份(300405.XSHE)	5600股	7.19	40,264.00	420.00",parsed
2026-05-15,,position,0,107,,,590410.0,,,600561.XSHG,600561.XSHG,江西长运,8500,,,6.85,58225.0,False,-1922.0,"江西长运(600561.XSHG)	8500股	6.85	58,225.00	-1,922.00",parsed
2026-05-15,,position,0,108,,,590410.0,,,600697.XSHG,600697.XSHG,欧亚集团,4800,,,12.23,58704.0,False,-1948.0,"欧亚集团(600697.XSHG)	4800股	12.23	58,704.00	-1,948.00",parsed
2026-05-15,,position,0,109,,,590410.0,,,301167.XSHE,301167.XSHE,建研设计,3400,,,17.27,58718.0,False,-1960.0,"建研设计(301167.XSHE)	3400股	17.27	58,718.00	-1,960.00",parsed
2026-05-15,,position,0,110,,,590410.0,,,300500.XSHE,300500.XSHE,启迪设计,1600,,,12.05,19280.0,False,224.0,"启迪设计(300500.XSHE)	1600股	12.05	19,280.00	224.00",parsed
2026-05-15,,position,0,111,,,590410.0,,,600455.XSHG,600455.XSHG,博通股份,2000,,,29.36,58720.0,False,808.0,"博通股份(600455.XSHG)	2000股	29.36	58,720.00	808.00",parsed
2026-05-15,,position,0,112,,,590410.0,,,300417.XSHE,300417.XSHE,南华仪器,3900,,,14.91,58149.0,False,-191.0,"南华仪器(300417.XSHE)	3900股	14.91	58,149.00	-191.00",parsed
2026-05-15,,position,0,113,,,590410.0,,,300929.XSHE,300929.XSHE,华骐环保,4200,,,13.87,58254.0,False,-2141.0,"华骐环保(300929.XSHE)	4200股	13.87	58,254.00	-2,141.00",parsed
2026-05-15,,position,0,114,,,590410.0,,,600493.XSHG,600493.XSHG,凤竹纺织,5400,,,7.24,39096.0,False,-1482.0,"凤竹纺织(600493.XSHG)	5400股	7.24	39,096.00	-1,482.00",parsed
2026-05-15,,cash_summary,0,115,410485.0,,590410.0,,,,,Cash,,,,,410485.0,False,410485.0,"Cash	 	 	410,485.00	0.00",parsed
2026-05-15,,total_summary,0,116,,1000895.0,590410.0,,,,,Total,,,,,1000895.0,False,,"总共:1,000,895.00	1,045.00",parsed
2026-05-18,,position,0,118,,,597133.0,,,300665.XSHE,300665.XSHE,飞鹿股份,6500,,,9.9,64350.0,False,6056.0,"飞鹿股份(300665.XSHE)	6500股	9.9	64,350.00	6,056.00",parsed
2026-05-18,,position,0,119,,,597133.0,,,301098.XSHE,301098.XSHE,金埔园林,5500,,,10.6,58300.0,False,3361.0,"金埔园林(301098.XSHE)	5500股	10.6	58,300.00	3,361.00",parsed
2026-05-18,,position,0,120,,,597133.0,,,300535.XSHE,300535.XSHE,达威股份,1000,,,18.59,18590.0,False,60.0,"达威股份(300535.XSHE)	1000股	18.59	18,590.00	60.00",parsed
2026-05-18,,position,0,121,,,597133.0,,,300405.XSHE,300405.XSHE,科隆股份,5600,,,7.28,40768.0,False,924.0,"科隆股份(300405.XSHE)	5600股	7.28	40,768.00	924.00",parsed
2026-05-18,,position,0,122,,,597133.0,,,600561.XSHG,600561.XSHG,江西长运,8500,,,6.94,58990.0,False,-1157.0,"江西长运(600561.XSHG)	8500股	6.94	58,990.00	-1,157.00",parsed
2026-05-18,,position,0,123,,,597133.0,,,600697.XSHG,600697.XSHG,欧亚集团,4800,,,12.39,59472.0,False,-1180.0,"欧亚集团(600697.XSHG)	4800股	12.39	59,472.00	-1,180.00",parsed
2026-05-18,,position,0,124,,,597133.0,,,301167.XSHE,301167.XSHE,建研设计,3400,,,17.54,59636.0,False,-1042.0,"建研设计(301167.XSHE)	3400股	17.54	59,636.00	-1,042.00",parsed
2026-05-18,,position,0,125,,,597133.0,,,300500.XSHE,300500.XSHE,启迪设计,1600,,,12.25,19600.0,False,544.0,"启迪设计(300500.XSHE)	1600股	12.25	19,600.00	544.00",parsed
2026-05-18,,position,0,126,,,597133.0,,,600455.XSHG,600455.XSHG,博通股份,2000,,,29.77,59540.0,False,1628.0,"博通股份(600455.XSHG)	2000股	29.77	59,540.00	1,628.00",parsed
2026-05-18,,position,0,127,,,597133.0,,,300417.XSHE,300417.XSHE,南华仪器,3900,,,15.17,59163.0,False,823.0,"南华仪器(300417.XSHE)	3900股	15.17	59,163.00	823.00",parsed
2026-05-18,,position,0,128,,,597133.0,,,300929.XSHE,300929.XSHE,华骐环保,4200,,,14.03,58926.0,False,-1469.0,"华骐环保(300929.XSHE)	4200股	14.03	58,926.00	-1,469.00",parsed
2026-05-18,,position,0,129,,,597133.0,,,600493.XSHG,600493.XSHG,凤竹纺织,5400,,,7.37,39798.0,False,-780.0,"凤竹纺织(600493.XSHG)	5400股	7.37	39,798.00	-780.00",parsed
2026-05-18,,cash_summary,0,130,410485.0,,597133.0,,,,,Cash,,,,,410485.0,False,410485.0,"Cash	 	 	410,485.00	0.00",parsed
