date,event_time,security,previous_close,open,high,low,close,high_limit,low_limit,engine_rejection_reason,jq_trade_quantity,jq_trade_price,jq_trade_time
2026-06-03,14:00,300417.XSHE,12.829999923706055,13.029999732971191,13.09000015258789,12.40999984741211,12.569999694824219,15.4,10.26,limit down,0,,
2026-06-03,14:00,300405.XSHE,6.360000133514404,6.349999904632568,6.460000038146973,6.210000038146973,6.269999980926514,7.63,5.09,limit down,0,,
2026-06-03,14:00,600561.XSHG,6.019999980926514,6.010000228881836,6.050000190734863,5.800000190734863,5.909999847412109,6.62,5.42,limit down,0,,
2026-06-03,14:00,301167.XSHE,14.960000038146973,15.079999923706055,15.079999923706055,14.600000381469727,14.720000267028809,17.95,11.97,limit down,0,,
2026-06-03,14:00,600697.XSHG,11.600000381469727,11.59000015258789,11.600000381469727,11.170000076293945,11.300000190734863,12.76,10.44,limit down,0,,
2026-06-03,14:00,300500.XSHE,10.979999542236328,11.0,11.100000381469727,10.75,10.829999923706055,13.18,8.78,limit down,0,,
2026-06-03,14:00,600493.XSHG,6.429999828338623,6.420000076293945,6.46999979019165,6.289999961853027,6.340000152587891,7.07,5.79,limit down,0,,
2026-06-03,14:00,603879.XSHG,5.019999980926514,5.070000171661377,5.090000152587891,4.920000076293945,5.019999980926514,5.5200000000000005,4.5200000000000005,limit down,0,,
2026-06-04,14:00,301098.XSHE,9.279999732971191,9.09000015258789,9.239999771118164,8.829999923706055,8.970000267028809,11.14,7.42,limit down,1400,9.09,09:30:00
2026-06-04,14:00,600455.XSHG,25.700000762939453,25.700000762939453,25.90999984741211,24.709999084472656,24.979999542236328,28.27,23.13,limit down,100,25.7,09:30:00
2026-06-04,14:00,300929.XSHE,11.930000305175781,11.859999656677246,12.039999961853027,11.510000228881836,11.609999656677246,14.32,9.540000000000001,limit down,0,,
2026-06-04,14:00,300417.XSHE,12.569999694824219,12.649999618530273,12.649999618530273,12.130000114440918,12.399999618530273,15.08,10.06,limit down,0,,
2026-06-04,14:00,300405.XSHE,6.269999980926514,6.239999771118164,6.340000152587891,6.059999942779541,6.119999885559082,7.5200000000000005,5.0200000000000005,limit down,2700,6.24,09:30:00
2026-06-04,14:00,600561.XSHG,5.909999847412109,5.849999904632568,5.980000019073486,5.679999828338623,5.75,6.5,5.32,limit down,0,,
2026-06-04,14:00,301167.XSHE,14.720000267028809,14.600000381469727,14.760000228881836,14.220000267028809,14.380000114440918,17.66,11.78,limit down,0,,
2026-06-04,14:00,600697.XSHG,11.300000190734863,11.25,11.420000076293945,10.859999656677246,10.930000305175781,12.43,10.17,limit down,100,11.25,09:30:00
2026-06-04,14:00,300500.XSHE,10.829999923706055,10.739999771118164,10.880000114440918,10.4399995803833,10.510000228881836,13.0,8.66,limit down,0,,
2026-06-04,14:00,600493.XSHG,6.340000152587891,6.329999923706055,6.400000095367432,6.159999847412109,6.239999771118164,6.97,5.71,limit down,0,,
2026-06-04,14:00,300535.XSHE,15.6899995803833,15.65999984741211,15.6899995803833,15.109999656677246,15.34000015258789,18.830000000000002,12.55,limit down,100,15.66,09:30:00
2026-06-04,14:00,603879.XSHG,5.019999980926514,5.0,5.059999942779541,4.849999904632568,4.920000076293945,5.5200000000000005,4.5200000000000005,limit down,300,5.0,09:30:00
2026-06-05,14:00,301098.XSHE,8.970000267028809,8.899999618530273,8.899999618530273,8.430000305175781,8.5,10.76,7.18,limit down,0,,
