date,snapshot_type,security,jq_quantity,local_quantity,quantity_difference,alignment_status
2026-06-11,END_OF_DAY,301098.XSHE,6100,9400,-3300,QUANTITY_DIFF
2026-06-11,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-11,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-11,END_OF_DAY,600493.XSHG,13800,11200,2600,QUANTITY_DIFF
2026-06-11,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-11,END_OF_DAY,600697.XSHG,4700,8100,-3400,QUANTITY_DIFF
2026-06-11,END_OF_DAY,603879.XSHG,14200,3600,10600,QUANTITY_DIFF
2026-06-12,END_OF_DAY,300405.XSHE,8300,8400,-100,QUANTITY_DIFF
2026-06-12,END_OF_DAY,300417.XSHE,5800,6700,-900,QUANTITY_DIFF
2026-06-12,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-12,END_OF_DAY,300535.XSHE,5600,3300,2300,QUANTITY_DIFF
2026-06-12,END_OF_DAY,300605.XSHE,6400,0,6400,JQ_ONLY
2026-06-12,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-12,END_OF_DAY,300886.XSHE,700,0,700,JQ_ONLY
2026-06-12,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-12,END_OF_DAY,301098.XSHE,3900,9400,-5500,QUANTITY_DIFF
2026-06-12,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-12,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-12,END_OF_DAY,600493.XSHG,13900,11200,2700,QUANTITY_DIFF
2026-06-12,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-12,END_OF_DAY,600697.XSHG,3200,8100,-4900,QUANTITY_DIFF
2026-06-12,END_OF_DAY,603879.XSHG,14100,3600,10500,QUANTITY_DIFF
2026-06-15,END_OF_DAY,300405.XSHE,8300,8400,-100,QUANTITY_DIFF
2026-06-15,END_OF_DAY,300417.XSHE,5800,6700,-900,QUANTITY_DIFF
2026-06-15,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-15,END_OF_DAY,300535.XSHE,5600,3300,2300,QUANTITY_DIFF
2026-06-15,END_OF_DAY,300605.XSHE,6400,0,6400,JQ_ONLY
2026-06-15,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-15,END_OF_DAY,300886.XSHE,700,0,700,JQ_ONLY
2026-06-15,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-15,END_OF_DAY,301098.XSHE,3900,9400,-5500,QUANTITY_DIFF
2026-06-15,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-15,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-15,END_OF_DAY,600493.XSHG,13900,11200,2700,QUANTITY_DIFF
2026-06-15,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-15,END_OF_DAY,600697.XSHG,3200,8100,-4900,QUANTITY_DIFF
2026-06-15,END_OF_DAY,603879.XSHG,14100,3600,10500,QUANTITY_DIFF
2026-06-16,END_OF_DAY,300405.XSHE,8300,8400,-100,QUANTITY_DIFF
2026-06-16,END_OF_DAY,300417.XSHE,5800,6700,-900,QUANTITY_DIFF
2026-06-16,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-16,END_OF_DAY,300535.XSHE,5600,3300,2300,QUANTITY_DIFF
2026-06-16,END_OF_DAY,300605.XSHE,6400,0,6400,JQ_ONLY
2026-06-16,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-16,END_OF_DAY,300886.XSHE,700,0,700,JQ_ONLY
2026-06-16,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-16,END_OF_DAY,301098.XSHE,3900,9400,-5500,QUANTITY_DIFF
2026-06-16,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-16,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-16,END_OF_DAY,600493.XSHG,13900,11200,2700,QUANTITY_DIFF
2026-06-16,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-16,END_OF_DAY,600697.XSHG,3200,8100,-4900,QUANTITY_DIFF
2026-06-16,END_OF_DAY,603879.XSHG,14100,3600,10500,QUANTITY_DIFF
2026-06-17,END_OF_DAY,300405.XSHE,11000,8400,2600,QUANTITY_DIFF
2026-06-17,END_OF_DAY,300417.XSHE,7200,6700,500,QUANTITY_DIFF
2026-06-17,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-17,END_OF_DAY,300535.XSHE,5600,3300,2300,QUANTITY_DIFF
2026-06-17,END_OF_DAY,300605.XSHE,4800,0,4800,JQ_ONLY
2026-06-17,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-17,END_OF_DAY,300886.XSHE,1400,0,1400,JQ_ONLY
2026-06-17,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-17,END_OF_DAY,301098.XSHE,2100,9400,-7300,QUANTITY_DIFF
2026-06-17,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-17,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-17,END_OF_DAY,600493.XSHG,13900,11200,2700,QUANTITY_DIFF
2026-06-17,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-17,END_OF_DAY,600697.XSHG,3200,8100,-4900,QUANTITY_DIFF
2026-06-17,END_OF_DAY,603879.XSHG,10400,3600,6800,QUANTITY_DIFF
2026-06-18,END_OF_DAY,300405.XSHE,11000,8400,2600,QUANTITY_DIFF
2026-06-18,END_OF_DAY,300417.XSHE,7200,6700,500,QUANTITY_DIFF
2026-06-18,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-18,END_OF_DAY,300535.XSHE,5600,3300,2300,QUANTITY_DIFF
2026-06-18,END_OF_DAY,300605.XSHE,4800,0,4800,JQ_ONLY
2026-06-18,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-18,END_OF_DAY,300886.XSHE,1400,0,1400,JQ_ONLY
2026-06-18,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-18,END_OF_DAY,301098.XSHE,2100,9400,-7300,QUANTITY_DIFF
2026-06-18,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-18,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-18,END_OF_DAY,600493.XSHG,13900,11200,2700,QUANTITY_DIFF
2026-06-18,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-18,END_OF_DAY,600697.XSHG,3200,8100,-4900,QUANTITY_DIFF
2026-06-18,END_OF_DAY,603879.XSHG,10400,3600,6800,QUANTITY_DIFF
2026-06-22,END_OF_DAY,300405.XSHE,11000,8400,2600,QUANTITY_DIFF
2026-06-22,END_OF_DAY,300417.XSHE,7200,6700,500,QUANTITY_DIFF
2026-06-22,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-22,END_OF_DAY,300535.XSHE,5600,3300,2300,QUANTITY_DIFF
2026-06-22,END_OF_DAY,300605.XSHE,4800,0,4800,JQ_ONLY
2026-06-22,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-22,END_OF_DAY,300886.XSHE,1400,0,1400,JQ_ONLY
2026-06-22,END_OF_DAY,300929.XSHE,7500,7300,200,QUANTITY_DIFF
2026-06-22,END_OF_DAY,301098.XSHE,2100,9400,-7300,QUANTITY_DIFF
2026-06-22,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-22,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-22,END_OF_DAY,600493.XSHG,13900,11200,2700,QUANTITY_DIFF
2026-06-22,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-22,END_OF_DAY,600697.XSHG,3200,8100,-4900,QUANTITY_DIFF
2026-06-22,END_OF_DAY,603879.XSHG,10400,3600,6800,QUANTITY_DIFF
2026-06-23,END_OF_DAY,300405.XSHE,14000,8400,5600,QUANTITY_DIFF
2026-06-23,END_OF_DAY,300417.XSHE,7300,6700,600,QUANTITY_DIFF
2026-06-23,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-23,END_OF_DAY,300535.XSHE,5500,3300,2200,QUANTITY_DIFF
2026-06-23,END_OF_DAY,300605.XSHE,3200,0,3200,JQ_ONLY
2026-06-23,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-23,END_OF_DAY,300886.XSHE,1500,0,1500,JQ_ONLY
2026-06-23,END_OF_DAY,300929.XSHE,7300,7300,0,MATCH
2026-06-23,END_OF_DAY,301098.XSHE,1900,9400,-7500,QUANTITY_DIFF
2026-06-23,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-23,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-23,END_OF_DAY,600493.XSHG,14100,11200,2900,QUANTITY_DIFF
2026-06-23,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-23,END_OF_DAY,600697.XSHG,4700,8100,-3400,QUANTITY_DIFF
2026-06-23,END_OF_DAY,603879.XSHG,7100,3600,3500,QUANTITY_DIFF
2026-06-24,END_OF_DAY,300405.XSHE,14000,8400,5600,QUANTITY_DIFF
2026-06-24,END_OF_DAY,300417.XSHE,7300,6700,600,QUANTITY_DIFF
2026-06-24,END_OF_DAY,300500.XSHE,0,1600,-1600,LOCAL_ONLY
2026-06-24,END_OF_DAY,300535.XSHE,5500,3300,2200,QUANTITY_DIFF
2026-06-24,END_OF_DAY,300605.XSHE,3200,0,3200,JQ_ONLY
2026-06-24,END_OF_DAY,300665.XSHE,0,6200,-6200,LOCAL_ONLY
2026-06-24,END_OF_DAY,300886.XSHE,1500,0,1500,JQ_ONLY
2026-06-24,END_OF_DAY,300929.XSHE,7300,7300,0,MATCH
2026-06-24,END_OF_DAY,301098.XSHE,1900,9400,-7500,QUANTITY_DIFF
2026-06-24,END_OF_DAY,301167.XSHE,6000,5900,100,QUANTITY_DIFF
2026-06-24,END_OF_DAY,600455.XSHG,3400,3300,100,QUANTITY_DIFF
2026-06-24,END_OF_DAY,600493.XSHG,14100,11200,2900,QUANTITY_DIFF
2026-06-24,END_OF_DAY,600561.XSHG,15000,14600,400,QUANTITY_DIFF
2026-06-24,END_OF_DAY,600697.XSHG,4700,8100,-3400,QUANTITY_DIFF
2026-06-24,END_OF_DAY,603879.XSHG,7100,3600,3500,QUANTITY_DIFF
