date,gross_value,net_value,cum_cost,daily_trade_value
2022-07-11,2690125.350000001,2498789.050500001,191336.2995000001,0.0
2022-07-12,2661241.350000001,2469905.050500001,191336.2995000001,0.0
2022-07-13,2705239.9700000016,2513193.4715000014,192046.4985000001,236733.0
2022-07-14,2698079.9700000016,2506033.4715000014,192046.4985000001,0.0
2022-07-15,2615158.9700000016,2423112.4715000014,192046.4985000001,0.0
2022-07-18,2716823.3200000017,2524098.0475000017,192725.2725000001,226258.0
2022-07-19,2752775.3200000017,2560050.0475000017,192725.2725000001,0.0
2022-07-20,2761916.3200000017,2569191.0475000017,192725.2725000001,0.0
2022-07-21,2757049.500000002,2563543.3485000017,193506.1515000001,260293.0
2022-07-22,2804752.500000002,2611246.3485000017,193506.1515000001,0.0
2022-07-25,2812304.9500000016,2618761.1485000015,193543.8015000001,12550.0
2022-07-26,2829234.1500000013,2635600.507500001,193633.64250000007,29947.0
2022-07-27,2840224.1500000013,2646590.507500001,193633.64250000007,0.0
2022-07-28,2834177.1500000013,2640543.507500001,193633.64250000007,0.0
2022-07-29,2839685.0500000017,2645614.7185000014,194070.3315000001,145563.0
2022-08-01,2858297.0500000017,2664226.7185000014,194070.3315000001,0.0
2022-08-02,2740902.0500000017,2546831.7185000014,194070.3315000001,0.0
2022-08-03,2766362.750000002,2571612.3425000017,194750.4075000001,226692.0
2022-08-04,2824698.120000001,2629939.8285000008,194758.29150000008,2628.0
2022-08-05,2829114.120000001,2634355.8285000008,194758.29150000008,0.0
2022-08-08,2908211.7600000016,2713029.7995000016,195181.96050000007,141223.0
2022-08-09,2937369.540000001,2742177.919500001,195191.62050000008,3219.9999999999995
2022-08-10,2990510.540000001,2795308.551500001,195201.98850000006,3456.0
2022-08-11,3028508.830000001,2832942.059500001,195566.77050000007,121594.0
2022-08-12,3067843.830000002,2872277.059500002,195566.77050000007,0.0
2022-08-15,3054872.8200000017,2858978.755500002,195894.06450000007,109098.0
2022-08-16,3113714.7700000014,2917110.0745000015,196604.69550000006,236877.0
2022-08-17,3098079.7700000014,2901475.0745000015,196604.69550000006,0.0
