date,jq_total_asset,local_total_asset,asset_diff,asset_diff_pct,jq_cash,local_cash,cash_diff,jq_position_value,local_position_value,position_value_diff,jq_position_count,local_position_count,position_count_diff,jq_daily_return,local_daily_return,daily_return_diff,jq_cum_return,local_cum_return,cum_return_diff,match_status,diff_reason
2025-02-17,1062697.26,1062697.27,-0.010000000009313226,-9.41001759542793e-09,417806.26,,,644891.0,,,12,,,0.03828483695935403,0.038284836585300575,3.740534548768437e-10,0.06280247744526712,0.06280248744625716,-1.0000990036118651e-08,exact_match,none
2025-02-18,1060489.58,1060365.71,123.87000000011176,0.00011681818718950442,222212.58,,,838277.0,,,14,,,-0.0020774307821213034,-0.0021940020604362953,0.00011657127831499192,0.06059457886330755,0.0604706965989632,0.0001238822643443438,small_diff,cascade_residual
2025-02-19,1075875.04,1075751.17,123.87000000011176,0.00011514744622598158,226743.04,,,849132.0,,,14,,,0.014507884179305153,0.01450957896403482,-1.6947847296666652e-06,0.07598156217465535,0.075857679910311,0.0001238822643443438,small_diff,cascade_residual
2025-02-20,1076043.58,1075919.71,123.87000000011176,0.00011512940868060848,233188.58,,,842855.0,,,14,,,0.00015665388054730833,0.00015667191884172205,-1.803829441371363e-08,0.07615011886176748,0.07602623659742314,0.0001238822643443438,small_diff,cascade_residual
2025-02-21,1066385.35,1066258.49,126.86000000010245,0.00011897677832333363,2914.35,,,1063471.0,,,15,,,-0.00897568665388071,-0.008979499037154004,3.812383273293918e-06,0.06649093260232775,0.06636406004194417,0.00012687256038357297,small_diff,cascade_residual
2025-02-24,1074639.35,1074512.49,126.86000000010245,0.00011806284355066217,2914.35,,,1071725.0,,,15,,,0.007740166347934174,0.007741087247989942,-9.20900055767504e-07,0.07474574982923321,0.07461887726884964,0.00012687256038357297,small_diff,cascade_residual
2025-02-25,1074895.35,1074768.49,126.86000000010245,0.00011803472206382087,2914.35,,,1071981.0,,,15,,,0.00023821945474078454,0.00023824757960699827,-2.8124866213730115e-08,0.07500177517574258,0.074874902615359,0.00012687256038357297,small_diff,cascade_residual
2025-02-26,1086332.55,1086205.69,126.86000000010245,0.00011679187576351442,862.55,,,1085470.0,,,15,,,0.010640291633971621,0.010641547557837194,-1.2559238655729388e-06,0.08644010757064957,0.086313235010266,0.00012687256038357297,small_diff,cascade_residual
2025-02-27,1083362.55,1083235.69,126.86000000010245,0.00011711209404492799,862.55,,,1082500.0,,,15,,,-0.002733969446096385,-0.0027342887515162673,3.193054198824541e-07,0.0834698135115377,0.08334294095115413,0.00012687256038357297,small_diff,cascade_residual
2025-02-28,1066193.02,1066066.15,126.87000000011176,0.00011900762443316653,5389.02,,,1060804.0,,,15,,,-0.015848369504742443,-0.015850234772083693,1.865267341250032e-06,0.06629858355977247,0.06617170099839864,0.00012688256137383114,small_diff,cascade_residual
2025-03-03,1065467.6,1065340.73,126.87000000011176,0.00011908866001970258,27081.6,,,1038386.0,,,14,,,-0.0006803833699829953,-0.0006804643407914979,8.097080850255622e-08,0.06557309173608195,0.06544620917470834,0.0001268825613736091,small_diff,cascade_residual
2025-03-04,1071178.6,1071051.73,126.87000000011176,0.00011845366236429286,27081.6,,,1044097.0,,,14,,,0.005360087908820477,0.005360726234507229,-6.383256867525944e-07,0.07128465718106103,0.07115777461968742,0.0001268825613736091,small_diff,cascade_residual
2025-03-05,1060936.6,1060809.73,126.87000000011176,0.0001195973193044824,27081.6,,,1033855.0,,,14,,,-0.009561430745535837,-0.009562563332025098,1.132586489260845e-06,0.06104164312266924,0.06091476056129563,0.0001268825613736091,small_diff,cascade_residual
2025-03-06,1076384.7,1076257.83,126.86999999987893,0.00011788067548821356,1926.7,,,1074458.0,,,13,,,0.01456081353023353,0.014562554964498764,-1.7414342652344317e-06,0.07649127263599098,0.07636439007461737,0.0001268825613736091,small_diff,cascade_residual
2025-03-07,1060974.7,1060847.83,126.86999999987893,0.00011959302400597729,1926.7,,,1059048.0,,,13,,,-0.014316442810827779,-0.014318130442776855,1.6876319490766178e-06,0.061079746894942444,0.06095286433356906,0.00012688256137338705,small_diff,cascade_residual
2025-03-10,1102867.7,1102740.83,126.86999999987893,0.00011504969848616099,1926.7,,,1100941.0,,,13,,,0.03948539017942654,0.03949011235664224,-4.722177215699119e-06,0.10297689471257643,0.10285001215120304,0.00012688256137338705,small_diff,cascade_residual
2025-03-11,1106399.39,1106276.53,122.85999999986961,0.0001110572236399787,36487.39,,,1069912.0,,,11,,,0.003202278931552671,0.0032062837466533267,-4.004815100655534e-06,0.10650893438450404,0.10638606222015978,0.00012287216434425652,small_diff,cascade_residual
2025-03-12,1112424.39,1112311.53,112.85999999986961,0.00010146438021717676,36487.39,,,1075937.0,,,11,,,0.005445592300986402,0.005455236404590558,-9.644103604156129e-06,0.1125345309185608,0.11242165974431462,0.00011287117424618742,small_diff,cascade_residual
2025-03-13,1097351.39,1097249.53,101.85999999986961,9.283211996442561e-05,36487.39,,,1060864.0,,,11,,,-0.01354968493633979,-0.013541170430913407,-8.514505426382435e-06,0.0974600385438158,0.09735816845867751,0.00010187008513828921,small_diff,cascade_residual
2025-03-14,1118960.89,1118868.32,92.56999999983236,8.273538390990671e-05,253.89,,,1118707.0,,,12,,,0.019692415936156893,0.019702710649600386,-1.0294713443492753e-05,0.1190716780961314,0.11897909893079417,9.257916533722543e-05,small_diff,cascade_residual
2025-03-17,1128623.89,1128531.32,92.56999999983236,8.202696580882874e-05,253.89,,,1128370.0,,,12,,,0.008635690564663179,0.00863640504183727,-7.144771740907885e-07,0.1287356348278479,0.12864305566251066,9.257916533722543e-05,small_diff,cascade_residual
2025-03-18,1128134.89,1128042.32,92.56999999983236,8.206252403707013e-05,253.89,,,1127881.0,,,12,,,-0.0004332709987203698,-0.0004333065386258328,3.553990546301122e-08,0.12824658641205477,0.12815400724671755,9.257916533722543e-05,small_diff,cascade_residual
2025-03-19,1125231.41,1125138.85,92.55999999982305,8.226540217664961e-05,150.41,,,1125081.0,,,12,,,-0.0025736993206547654,-0.0025739016600014875,2.023393467220913e-07,0.12534281893907484,0.12525024977472787,9.256916434696727e-05,small_diff,cascade_residual
2025-03-20,1133342.41,1133249.85,92.55999999982305,8.167660467797374e-05,150.41,,,1133192.0,,,12,,,0.007208295047504976,0.007208888040796113,-5.929932911374891e-07,0.13345462200757874,0.13336205284323155,9.256916434718931e-05,small_diff,cascade_residual
2025-03-21,1113962.41,1113869.85,92.55999999982305,8.309767967938358e-05,150.41,,,1113812.0,,,12,,,-0.017099863050214492,-0.017101259708968808,1.396658754315716e-06,0.11407270319761653,0.11398013403326934,9.256916434718931e-05,small_diff,cascade_residual
