date,sequence,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,commission_diff,jq_tax,local_tax,tax_diff,match_status,diff_reason,evidence_level
2025-03-11,1,002848.XSHE,buy,0,100.0,-100.0,0,6.66,-6.66,0,666.0,-666.0,0,5.0,-5.0,0,0,0,missing_in_jq,cascade_after_first_divergence,B
2025-03-11,0,002856.XSHE,buy,200.0,200.0,0.0,9.08,9.08,0.0,1816.0,1816.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-11,0,300736.XSHE,buy,1800.0,1700.0,100.0,9.61,9.61,0.0,17298.0,16336.999999999998,961.0000000000018,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-11,0,600753.XSHG,buy,3600.0,3600.0,0.0,5.56,5.56,0.0,20016.0,20016.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-11,0,600768.XSHG,buy,400.0,400.0,0.0,9.66,9.66,0.0,3864.0,3864.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-11,0,603316.XSHG,sell,3500.0,3500.0,0.0,6.19,6.19,0.0,-21665.0,21665.0,-43330.0,26.66,5.0,21.66,0,0,0,exact_match,none,A
2025-03-11,0,605081.XSHG,sell,300.0,300.0,0.0,10.23,10.23,0.0,-3069.0,3069.0,-6138.0,8.07,5.0,3.0700000000000003,0,0,0,exact_match,none,A
2025-03-14,0,000668.XSHE,buy,100.0,100.0,0.0,5.82,5.82,0.0,582.0,582.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-14,0,000691.XSHE,buy,2600.0,2600.0,0.0,2.97,2.97,0.0,7722.0,7722.000000000001,-9.094947017729282e-13,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-14,0,000929.XSHE,sell,2800.0,2800.0,0.0,7.27,7.27,0.0,-20356.0,20356.0,-40712.0,25.36,5.0,20.36,0,0,0,exact_match,none,A
2025-03-14,0,002848.XSHE,sell,100.0,200.0,-100.0,7.0,7.0,0.0,-700.0,1400.0,-2100.0,5.7,5.0,0.7000000000000002,0,0,0,exact_match,none,A
2025-03-14,0,002856.XSHE,sell,200.0,200.0,0.0,9.36,9.36,0.0,-1872.0,1872.0,-3744.0,6.87,5.0,1.87,0,0,0,exact_match,none,A
2025-03-14,0,300736.XSHE,buy,3300.0,3400.0,-100.0,9.55,9.55,0.0,31515.0,32470.000000000004,-955.0000000000036,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-03-14,0,600243.XSHG,buy,15200.0,15200.0,0.0,2.89,2.89,0.0,43928.0,43928.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
