date,sequence,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,commission_diff,jq_tax,local_tax,tax_diff,match_status,diff_reason,evidence_level
2026-05-27,0,300417.XSHE,sell,1100.0,1100.0,0.0,14.17,14.17,0.0,-15587.0,15587.0,-31174.0,20.59,5.0,15.59,0,0,0,exact_match,none,A
2026-05-27,0,300500.XSHE,sell,1600.0,1600.0,0.0,11.36,11.36,0.0,-18176.0,18176.0,-36352.0,23.18,5.0,18.18,0,0,0,exact_match,none,A
2026-05-27,0,300535.XSHE,buy,1100.0,1100.0,0.0,17.42,17.42,0.0,19162.0,19162.000000000004,-3.637978807091713e-12,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-27,0,300605.XSHE,buy,1600.0,1600.0,0.0,11.52,11.52,0.0,18432.0,18432.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-27,0,300665.XSHE,sell,2300.0,2300.0,0.0,9.84,9.84,0.0,-22632.0,22632.0,-45264.0,27.63,5.0,22.63,0,0,0,exact_match,none,A
2026-05-27,0,301167.XSHE,buy,100.0,100.0,0.0,16.01,16.01,0.0,1601.0,1601.0000000000002,-2.2737367544323206e-13,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-27,0,600493.XSHG,buy,3000.0,3000.0,0.0,6.81,6.81,0.0,20430.0,20430.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-27,0,600561.XSHG,buy,100.0,100.0,0.0,6.48,6.48,0.0,648.0,648.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-27,0,600697.XSHG,buy,100.0,100.0,0.0,11.63,11.63,0.0,1163.0,1163.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-05-27,0,603879.XSHG,buy,3600.0,3600.0,0.0,5.3,5.3,0.0,19080.0,19080.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-01,0,300405.XSHE,sell,2700.0,2700.0,0.0,6.4,6.4,0.0,-17280.0,17280.0,-34560.0,22.28,5.0,17.28,0,0,0,exact_match,none,A
2026-06-01,0,300535.XSHE,buy,1200.0,1200.0,0.0,16.33,16.33,0.0,19596.0,19595.999999999996,3.637978807091713e-12,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-01,0,300605.XSHE,buy,1600.0,1600.0,0.0,10.96,10.96,0.0,17536.0,17536.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-01,0,300665.XSHE,sell,2000.0,2000.0,0.0,9.54,9.54,0.0,-19080.0,19080.0,-38160.0,24.08,5.0,19.08,0,0,0,exact_match,none,A
2026-06-01,0,300886.XSHE,buy,700.0,700.0,0.0,24.11,24.11,0.0,16877.0,16877.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-01,0,300929.XSHE,buy,200.0,200.0,0.0,12.02,12.02,0.0,2404.0,2404.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-01,0,301098.XSHE,sell,2100.0,2100.0,0.0,9.94,9.94,0.0,-20874.0,20874.0,-41748.0,25.87,5.0,20.87,0,0,0,exact_match,none,A
2026-06-01,0,301167.XSHE,buy,100.0,100.0,0.0,15.0,15.0,0.0,1500.0,1500.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-01,0,600561.XSHG,buy,300.0,300.0,0.0,5.99,5.99,0.0,1797.0,1797.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-01,0,600697.XSHG,sell,1800.0,1800.0,0.0,11.35,11.35,0.0,-20430.0,20430.0,-40860.0,25.43,5.0,20.43,0,0,0,exact_match,none,A
2026-06-01,0,603879.XSHG,buy,3700.0,3700.0,0.0,4.94,4.94,0.0,18278.0,18278.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-04,0,300405.XSHE,buy,2700.0,2700.0,0.0,6.24,6.24,0.0,16848.0,16848.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-04,0,300535.XSHE,buy,100.0,100.0,0.0,15.66,15.66,0.0,1566.0,1566.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-04,0,300605.XSHE,buy,1600.0,1600.0,0.0,10.83,10.83,0.0,17328.0,17328.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2026-06-04,0,300665.XSHE,sell,1900.0,1900.0,0.0,9.81,9.81,0.0,-18639.0,18639.0,-37278.0,23.64,5.0,18.64,0,0,0,exact_match,none,A
2026-06-04,0,301098.XSHE,sell,1400.0,1400.0,0.0,9.09,9.09,0.0,-12726.0,12726.0,-25452.0,17.73,5.0,12.73,0,0,0,exact_match,none,A
2026-06-04,0,600455.XSHG,buy,100.0,100.0,0.0,25.7,25.7,0.0,2570.0,2570.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
