date,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,jq_tax,local_tax,match_status,diff_reason
2020-07-07,002473.XSHE,sell,600,700,100,8.88,8.88,0.0,5328.0,6216.000000000001,888.0000000000009,10.33,5.0,0,6.22,quantity_diff,unknown
2020-07-07,002633.XSHE,buy,400,300,-100,8.23,8.23,0.0,3292.0,2469.0,-823.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-07-07,300535.XSHE,buy,900,1000,100,12.78,12.78,0.0,11502.0,12780.0,1278.0,10.0,5.0,0,0.0,quantity_diff,unknown
2020-07-07,300665.XSHE,buy,100,100,0,10.52,10.52,0.0,1052.0,1052.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-07,300736.XSHE,buy,1000,900,-100,9.79,9.79,0.0,9790.0,8811.0,-979.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-07-07,600561.XSHG,sell,5300,5300,0,5.0,5.0,0.0,26500.0,26500.0,0.0,31.5,5.0,0,26.5,exact_match,unknown
2020-07-07,600768.XSHG,buy,100,100,0,10.22,10.22,0.0,1022.0,1022.0000000000001,1.1368683772161603e-13,5.0,5.0,0,0.0,exact_match,unknown
2020-07-07,603269.XSHG,buy,1900,1900,0,13.88,13.88,0.0,26372.0,26372.0,0.0,10.0,10.0,0,0.0,exact_match,unknown
2020-07-10,000502.XSHE,buy,200,200,0,7.34,7.34,0.0,1468.0,1468.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-10,000638.XSHE,sell,5700,5700,0,4.66,4.66,0.0,26562.0,26562.0,0.0,31.56,5.0,0,26.56,exact_match,unknown
2020-07-10,000929.XSHE,buy,3500,3500,0,7.25,7.25,0.0,25375.0,25375.0,0.0,10.0,10.0,0,0.0,exact_match,unknown
2020-07-10,002209.XSHE,buy,200,200,0,6.65,6.65,0.0,1330.0,1330.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-10,002473.XSHE,sell,2800,2700,-100,8.88,8.88,0.0,24864.0,23976.000000000004,-887.9999999999964,29.86,5.0,0,23.98,quantity_diff,unknown
2020-07-10,002633.XSHE,buy,2700,2800,100,8.61,8.61,0.0,23247.0,24108.0,861.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-07-10,300029.XSHE,buy,200,200,0,5.94,5.94,0.0,1188.0,1188.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-10,300405.XSHE,buy,0,100,100,,6.27,,0.0,627.0,627.0,0.0,5.0,0,0.0,missing_in_jq,unknown
2020-07-10,300535.XSHE,buy,600,400,-200,13.22,13.22,0.0,7932.0,5288.0,-2644.0,10.0,5.0,0,0.0,quantity_diff,unknown
2020-07-10,300736.XSHE,sell,300,200,-100,10.33,10.33,0.0,3099.0,2066.0,-1033.0,8.1,5.0,0,2.07,quantity_diff,unknown
2020-07-10,600561.XSHG,sell,5000,5000,0,5.07,5.07,0.0,25350.0,25350.0,0.0,30.35,5.0,0,25.35,exact_match,unknown
2020-07-10,600768.XSHG,buy,2300,2300,0,10.59,10.59,0.0,24357.0,24357.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-14,300156.XSHE,sell,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0.0,missing_in_local,unknown
2020-07-15,000502.XSHE,buy,400,400,0,7.21,7.21,0.0,2884.0,2884.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-15,002209.XSHE,sell,200,200,0,6.81,6.81,0.0,1362.0,1362.0,0.0,6.36,5.0,0,1.36,exact_match,unknown
2020-07-15,002473.XSHE,sell,3000,3000,0,9.0,9.0,0.0,27000.0,27000.0,0.0,32.0,5.0,0,27.0,exact_match,unknown
2020-07-15,002633.XSHE,buy,200,200,0,8.59,8.59,0.0,1718.0,1718.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-15,300029.XSHE,sell,300,300,0,6.1,6.1,0.0,1830.0,1830.0,0.0,6.83,5.0,0,1.83,exact_match,unknown
2020-07-15,300405.XSHE,buy,200,0,-200,6.48,,,1296.0,0.0,-1296.0,10.0,0.0,0,0.0,missing_in_local,unknown
2020-07-15,300535.XSHE,buy,2100,2200,100,13.28,13.28,0.0,27888.0,29216.0,1328.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-07-15,300665.XSHE,sell,100,100,0,11.0,11.0,0.0,1100.0,1100.0,0.0,6.1,5.0,0,1.1,exact_match,unknown
2020-07-15,600561.XSHG,sell,5300,5400,100,5.2,5.2,0.0,27560.0,28080.0,520.0,32.56,5.0,0,28.08,quantity_diff,unknown
2020-07-15,600768.XSHG,buy,2500,2500,0,10.68,10.68,0.0,26700.0,26700.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-15,603269.XSHG,sell,100,100,0,14.64,14.64,0.0,1464.0,1464.0,0.0,6.46,5.0,0,1.46,exact_match,unknown
2020-07-20,000502.XSHE,sell,300,300,0,6.99,6.99,0.0,2097.0,2097.0,0.0,7.1,5.0,0,2.1,exact_match,unknown
2020-07-20,000929.XSHE,buy,100,100,0,6.87,6.87,0.0,687.0,687.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
2020-07-20,002209.XSHE,sell,100,100,0,6.48,6.48,0.0,648.0,648.0,0.0,5.65,5.0,0,0.65,exact_match,unknown
2020-07-20,002633.XSHE,sell,0,100,100,,8.2,,0.0,819.9999999999999,819.9999999999999,0.0,5.0,0,0.82,missing_in_jq,unknown
2020-07-20,300029.XSHE,sell,0,100,100,,5.78,,0.0,578.0,578.0,0.0,5.0,0,0.58,missing_in_jq,unknown
2020-07-20,300405.XSHE,buy,100,0,-100,6.48,,,648.0,0.0,-648.0,5.0,0.0,0,0.0,missing_in_local,unknown
2020-07-20,300535.XSHE,buy,2100,2300,200,12.69,12.69,0.0,26649.0,29187.0,2538.0,5.0,5.0,0,0.0,quantity_diff,unknown
2020-07-20,300665.XSHE,sell,200,200,0,10.59,10.59,0.0,2118.0,2118.0,0.0,7.12,5.0,0,2.12,exact_match,unknown
2020-07-20,300736.XSHE,buy,200,200,0,9.63,9.63,0.0,1926.0,1926.0000000000002,2.2737367544323206e-13,5.0,5.0,0,0.0,exact_match,unknown
2020-07-20,600561.XSHG,sell,5100,5100,0,4.92,4.92,0.0,25092.0,25092.0,0.0,30.09,5.0,0,25.09,exact_match,unknown
2020-07-23,000502.XSHE,buy,3600,3600,0,7.07,7.07,0.0,25452.0,25452.0,0.0,5.0,10.0,0,0.0,exact_match,unknown
2020-07-23,002209.XSHE,buy,100,100,0,6.54,6.54,0.0,654.0,654.0,0.0,5.0,5.0,0,0.0,exact_match,unknown
