date,jq_total_asset,jq_cash,jq_position_value,jq_position_count,is_truncated,local_total_asset,asset_diff,asset_diff_pct,cash_diff,position_value_diff,position_count_diff,jq_daily_return,local_daily_return,daily_return_diff,jq_cum_return,local_cum_return,cum_return_diff,match_status
2020-03-16,1095681.51,1741.51,1093940.0,13.0,False,1095676.5000000002,-5.009999999776483,-0.0005,,,,-0.03747016113734736,-0.03747032605041378,-1.649130664249654e-07,9.560558453299173,9.560057488016094,-0.000500965283078969,small_diff
2020-03-17,1085663.51,1741.51,1083922.0,13.0,False,1085658.5000000002,-5.009999999776483,-0.0005,,,,-0.009143167890092396,-0.00914320969738791,-4.180729551439555e-08,8.558827873228392,8.55832690794529,-0.0005009652831020617,small_diff
2020-03-18,1074083.51,1741.51,1072342.0,13.0,False,1074078.5000000002,-5.009999999776483,-0.0005,,,,-0.010666288305112182,-0.0106663375269479,-4.922183571842709e-08,7.400908117067484,7.400407151784405,-0.000500965283078969,small_diff
2020-03-19,1098973.65,415.65,1098558.0,14.0,False,1098968.64,-5.010000000009313,-0.0005,,,,0.023173375038594513,0.02317348312995704,1.0809136252731832e-07,9.889749640349898,9.889248675066797,-0.0005009652831002853,small_diff
2020-03-20,1131297.41,12636.41,1118661.0,14.0,False,1131292.4000000004,-5.009999999543652,-0.0004,,,,0.029412679730765223,0.02941281381787242,1.3408710719531314e-07,13.121901652215495,13.12140068693244,-0.0005009652830558764,small_diff
2020-03-23,1099439.41,12636.41,1086803.0,14.0,False,1099434.4000000004,-5.009999999543652,-0.0005,,,,-0.028160587762682154,-0.028160712473627503,-1.24710945348383e-07,9.936322412856779,9.935821447573723,-0.0005009652830558764,small_diff
2020-03-24,1131547.67,1.67,1131546.0,16.0,False,1131527.6800000002,-19.989999999757856,-0.0018,,,,0.029204210534894415,0.029190718427583917,-1.3492107310497659e-05,13.146925918033858,13.14492705655499,-0.001998861478869074,small_diff
2020-03-25,1160278.67,1.67,1160277.0,16.0,False,1160239.6800000002,-38.989999999757856,-0.0034,,,,0.025390887862461797,0.025374544969151813,-1.6342893309984063e-05,16.019826826000937,16.015928096182954,-0.0038987298179833374,small_diff
2020-03-26,1126048.51,10146.51,1115902.0,16.0,False,1125978.5400000005,-69.9699999995064,-0.0062,,,,-0.029501671352796577,-0.029529364139657455,-2.7692786860877838e-05,12.597048024571889,12.590051509430445,-0.0069965151414432825,small_diff
2020-03-27,1139014.05,1782.05,1137232.0,16.0,False,1138955.9600000002,-58.08999999985099,-0.0051,,,,0.011514193114113835,0.011525459446145137,1.1266332031301118e-05,13.893512179605949,13.887703582141775,-0.00580859746417417,small_diff
2020-03-30,1109366.0,6828.0,1102538.0,16.0,False,1109320.9000000004,-45.09999999962747,-0.0041,,,,-0.02602957355969404,-0.02601949596014219,1.0077599551849836e-05,10.92891262635498,10.924402938876376,-0.004509687478604363,small_diff
2020-03-31,1105763.43,20375.43,1085388.0,16.0,False,1105729.3300000003,-34.09999999962747,-0.0031,,,,-0.003247413387466369,-0.003237629436171341,9.783951295028182e-06,10.568680590435076,10.565270826731732,-0.003409763703343671,small_diff
2020-04-01,1101446.79,3620.59,1097826.2,1.0,False,1101413.05,-33.73999999999069,-0.0031,,,,-0.003903764478808913,-0.0039035592914952177,2.0518731369545407e-07,10.137046502677372,10.13367273647936,-0.003373766198011552,small_diff
2020-04-02,1101457.69,3620.59,1097837.1,1.0,False,1101423.95,-33.73999999999069,-0.0031,,,,9.896074961490697e-06,9.89637811166233e-06,3.031501716321827e-10,10.138136427145582,10.134762660947594,-0.0033737661979884592,small_diff
