code,open_date,close_date,quantity,buy_price,sell_price,gross_pnl,gross_return,holding_days
600847.XSHG,2025-08-20,2025-09-10,2100,11.630000,11.570000,-126.000000,-0.005159,21
600847.XSHG,2025-08-28,2025-09-10,400,11.020000,11.570000,220.000000,0.049909,13
600455.XSHG,2025-08-20,2025-09-10,900,28.200000,27.100000,-990.000000,-0.039007,21
000890.XSHE,2025-07-30,2025-09-15,5400,3.970000,4.170000,1080.000000,0.050378,47
000890.XSHE,2025-08-04,2025-09-15,200,3.920000,4.170000,50.000000,0.063776,42
000890.XSHE,2025-08-15,2025-09-15,300,4.250000,4.170000,-24.000000,-0.018824,31
000890.XSHE,2025-08-25,2025-09-15,100,4.200000,4.170000,-3.000000,-0.007143,21
000890.XSHE,2025-08-28,2025-09-15,600,4.020000,4.170000,90.000000,0.037313,18
300163.XSHE,2025-08-04,2025-09-15,100,3.330000,3.540000,21.000000,0.063063,42
600455.XSHG,2025-08-25,2025-09-15,900,28.500000,27.050000,-1305.000000,-0.050877,21
600455.XSHG,2025-09-02,2025-09-15,100,26.800000,27.050000,25.000000,0.009328,13
300736.XSHE,2025-05-06,2025-09-18,700,9.440000,15.360000,4144.000000,0.627119,135
300736.XSHE,2025-05-09,2025-09-18,2100,9.750000,15.360000,11781.000000,0.575385,132
300736.XSHE,2025-05-14,2025-09-18,500,9.590000,15.360000,2885.000000,0.601668,127
000890.XSHE,2025-08-28,2025-09-18,5900,4.020000,4.250000,1357.000000,0.057214,21
000890.XSHE,2025-09-02,2025-09-18,200,4.010000,4.250000,48.000000,0.059850,16
300163.XSHE,2025-08-04,2025-09-18,600,3.330000,3.730000,240.000000,0.120120,45
600847.XSHG,2025-08-28,2025-09-18,2100,11.020000,11.530000,1071.000000,0.046279,21
300736.XSHE,2025-05-14,2025-09-23,1500,9.590000,13.840000,6375.000000,0.443170,132
000890.XSHE,2025-09-02,2025-09-23,6200,4.010000,4.350000,2108.000000,0.084788,21
000890.XSHE,2025-09-10,2025-09-23,200,4.080000,4.350000,54.000000,0.066176,13
600847.XSHG,2025-09-02,2025-09-23,2400,10.950000,11.030000,192.000000,0.007306,21
300594.XSHE,2025-09-02,2025-09-23,100,17.880000,17.870000,-1.000000,-0.000559,21
002193.XSHE,2025-05-06,2025-09-26,500,5.160000,5.750000,295.000000,0.114341,143
603729.XSHG,2025-05-19,2025-09-26,100,15.610000,16.900000,129.000000,0.082639,130
002719.XSHE,2025-07-01,2025-09-26,100,9.060000,8.870000,-19.000000,-0.020971,87
300736.XSHE,2025-05-14,2025-10-09,200,9.590000,13.390000,760.000000,0.396246,148
300736.XSHE,2025-05-19,2025-10-09,1100,9.640000,13.390000,4125.000000,0.389004,143
300948.XSHE,2025-05-06,2025-10-10,1200,9.600000,22.740000,15768.000000,1.368750,157
300948.XSHE,2025-05-09,2025-10-10,2000,10.060000,22.740000,25360.000000,1.260437,154
300948.XSHE,2025-05-14,2025-10-10,2100,9.900000,22.740000,26964.000000,1.296970,149
300948.XSHE,2025-05-19,2025-10-10,2100,9.870000,22.740000,27027.000000,1.303951,144
300948.XSHE,2025-05-22,2025-10-10,1500,10.130000,22.740000,18915.000000,1.244817,141
300948.XSHE,2025-05-22,2025-10-14,500,10.130000,18.510000,4190.000000,0.827246,145
300948.XSHE,2025-06-05,2025-10-14,100,10.260000,18.510000,825.000000,0.804094,131
300948.XSHE,2025-07-01,2025-10-14,100,10.890000,18.510000,762.000000,0.699725,105
300948.XSHE,2025-07-04,2025-10-14,200,10.940000,18.510000,1514.000000,0.691956,102
300948.XSHE,2025-07-14,2025-10-14,100,10.920000,18.510000,759.000000,0.695055,92
300948.XSHE,2025-07-25,2025-10-17,300,11.540000,19.990000,2535.000000,0.732236,84
300948.XSHE,2025-08-04,2025-10-17,100,11.650000,19.990000,834.000000,0.715880,74
300948.XSHE,2025-08-07,2025-10-17,100,11.900000,19.990000,809.000000,0.679832,71
300948.XSHE,2025-08-15,2025-10-17,200,11.490000,19.990000,1700.000000,0.739774,63
300948.XSHE,2025-08-25,2025-10-17,300,12.100000,19.990000,2367.000000,0.652066,53
300948.XSHE,2025-08-28,2025-10-17,200,11.660000,19.990000,1666.000000,0.714408,50
300948.XSHE,2025-09-02,2025-10-17,200,11.290000,19.990000,1740.000000,0.770593,45
300948.XSHE,2025-09-15,2025-10-17,100,11.380000,19.990000,861.000000,0.756591,32
300948.XSHE,2025-09-18,2025-10-17,100,11.620000,19.990000,837.000000,0.720310,29
002719.XSHE,2025-07-01,2025-10-17,400,9.060000,9.700000,256.000000,0.070640,108
301098.XSHE,2025-09-02,2025-10-17,100,9.090000,9.000000,-9.000000,-0.009901,45
600455.XSHG,2025-09-18,2025-10-17,100,27.300000,25.990000,-131.000000,-0.047985,29
002193.XSHE,2025-05-06,2025-10-22,800,5.160000,5.590000,344.000000,0.083333,169
002719.XSHE,2025-07-01,2025-10-22,100,9.060000,10.130000,107.000000,0.118102,113
300405.XSHE,2025-09-26,2025-10-22,200,6.070000,6.390000,64.000000,0.052718,26
300405.XSHE,2025-10-14,2025-10-22,4100,6.640000,6.390000,-1025.000000,-0.037651,8
300405.XSHE,2025-10-17,2025-10-22,200,6.150000,6.390000,48.000000,0.039024,5
300736.XSHE,2025-05-19,2025-10-27,300,9.640000,13.920000,1284.000000,0.443983,161
600768.XSHG,2025-05-06,2025-10-27,100,10.240000,13.320000,308.000000,0.300781,174
300163.XSHE,2025-08-04,2025-10-27,400,3.330000,3.780000,180.000000,0.135135,84
300163.XSHE,2025-08-04,2025-10-29,3400,3.330000,4.700000,4658.000000,0.411411,86
300163.XSHE,2025-08-07,2025-10-29,4300,3.380000,4.700000,5676.000000,0.390533,83
300736.XSHE,2025-05-19,2025-10-30,200,9.640000,14.350000,942.000000,0.488589,164
300163.XSHE,2025-08-07,2025-10-30,4100,3.380000,4.680000,5330.000000,0.384615,84
300163.XSHE,2025-08-12,2025-10-30,1800,3.390000,4.680000,2322.000000,0.380531,79
002193.XSHE,2025-05-06,2025-11-04,600,5.160000,5.750000,354.000000,0.114341,182
603729.XSHG,2025-05-22,2025-11-04,100,16.000000,17.690000,169.000000,0.105625,166
300163.XSHE,2025-08-12,2025-11-04,6300,3.390000,4.820000,9009.000000,0.421829,84
300163.XSHE,2025-08-15,2025-11-04,400,3.220000,4.820000,640.000000,0.496894,81
300385.XSHE,2025-10-14,2025-11-04,200,5.290000,5.790000,100.000000,0.094518,21
300736.XSHE,2025-05-19,2025-11-07,500,9.640000,15.500000,2930.000000,0.607884,172
300736.XSHE,2025-05-22,2025-11-07,2100,9.770000,15.500000,12033.000000,0.586489,169
300736.XSHE,2025-06-13,2025-11-07,100,10.290000,15.500000,521.000000,0.506317,147
300929.XSHE,2025-05-06,2025-11-07,100,9.280000,11.850000,257.000000,0.276940,185
002193.XSHE,2025-05-06,2025-11-07,200,5.160000,5.930000,154.000000,0.149225,185
300163.XSHE,2025-08-15,2025-11-07,6700,3.220000,5.060000,12328.000000,0.571429,84
300736.XSHE,2025-07-01,2025-11-12,100,10.660000,17.320000,666.000000,0.624765,134
300736.XSHE,2025-07-04,2025-11-12,200,10.690000,17.320000,1326.000000,0.620206,131
300736.XSHE,2025-07-22,2025-11-12,100,10.950000,17.320000,637.000000,0.581735,113
300736.XSHE,2025-07-22,2025-11-12,200,10.950000,17.320000,1274.000000,0.581735,113
