date,code,side,jq_price,local_price,price_diff,jq_amount,local_amount,amount_diff,jq_value,local_value,value_diff,jq_commission,local_commission,commission_diff,match_status,diff_reason
2025-03-19,600753.XSHG,sell,5.8,5.8,0.0,0,4000,4000,0.0,23200.0,23200.0,28.2,5.0,-23.2,amount_diff,fill quantity difference
2025-03-19,600768.XSHG,sell,9.95,9.95,0.0,0,100,100,0.0,994.9999999999999,994.9999999999999,6.0,5.0,-1.0,amount_diff,fill quantity difference
2025-03-19,605081.XSHG,sell,10.85,10.85,0.0,0,100,100,0.0,1085.0,1085.0,6.08,5.0,-1.08,amount_diff,fill quantity difference
2025-03-24,000691.XSHE,sell,2.94,2.94,0.0,0,200,200,0.0,588.0,588.0,5.59,5.0,-0.5899999999999999,amount_diff,fill quantity difference
2025-03-24,000929.XSHE,sell,7.2,7.2,0.0,0,3100,3100,0.0,22320.0,22320.0,27.32,5.0,-22.32,amount_diff,fill quantity difference
2025-03-24,002848.XSHE,buy,6.73,,,100,,,673.0,,,5.0,,,missing_in_local,no matching local trade
2025-03-24,002856.XSHE,buy,9.24,9.24,0.0,100,100,0,924.0,924.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-24,300736.XSHE,buy,9.37,9.37,0.0,400,400,0,3747.9999999999995,3747.9999999999995,0.0,5.0,5.0,0.0,exact_match,
2025-03-24,600421.XSHG,buy,6.29,6.29,0.0,2800,2900,100,17612.0,18241.0,629.0,5.0,5.0,0.0,amount_diff,fill quantity difference
2025-03-25,600421.XSHG,sell,7.37,7.37,0.0,0,1000,1000,0.0,7370.0,7370.0,11.63,5.0,-6.630000000000001,amount_diff,fill quantity difference
2025-03-25,605081.XSHG,sell,11.23,11.23,0.0,0,900,900,0.0,10107.0,10107.0,15.11,5.0,-10.11,amount_diff,fill quantity difference
2025-03-27,000668.XSHE,buy,5.43,5.43,0.0,1000,1000,0,5430.0,5430.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-27,000691.XSHE,sell,3.09,3.09,0.0,0,2600,2600,0.0,8034.0,8034.0,13.03,5.0,-8.03,amount_diff,fill quantity difference
2025-03-27,000929.XSHE,sell,7.02,7.02,0.0,0,3100,3100,0.0,21762.0,21762.0,26.76,5.0,-21.76,amount_diff,fill quantity difference
2025-03-27,002848.XSHE,buy,6.13,6.13,0.0,1800,1900,100,11034.0,11647.0,613.0,5.0,5.0,0.0,amount_diff,fill quantity difference
2025-03-27,300665.XSHE,buy,6.79,6.79,0.0,2700,2700,0,18333.0,18333.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-27,300736.XSHE,buy,9.1,9.1,0.0,100,100,0,910.0,910.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-27,300929.XSHE,buy,8.8,8.8,0.0,400,400,0,3520.0000000000005,3520.0000000000005,0.0,5.0,5.0,0.0,exact_match,
2025-03-27,600243.XSHG,sell,2.9,2.9,0.0,0,200,200,0.0,580.0,580.0,5.58,5.0,-0.5800000000000001,amount_diff,fill quantity difference
2025-03-27,600421.XSHG,buy,6.91,6.91,0.0,600,600,0,4146.0,4146.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-27,600753.XSHG,sell,5.82,5.82,0.0,0,4500,4500,0.0,26190.0,26190.0,31.19,5.0,-26.19,amount_diff,fill quantity difference
2025-03-27,605081.XSHG,buy,10.96,10.96,0.0,300,300,0,3288.0000000000005,3288.0000000000005,0.0,5.0,5.0,0.0,exact_match,
2025-03-28,600421.XSHG,sell,7.41,7.41,0.0,0,900,900,0.0,6669.0,6669.0,11.67,5.0,-6.67,amount_diff,fill quantity difference
2025-04-01,000668.XSHE,sell,5.01,5.01,0.0,0,19800,19800,0.0,99198.0,99198.0,109.12,9.92,-99.2,amount_diff,fill quantity difference
2025-04-01,000691.XSHE,sell,2.86,2.86,0.0,0,35000,35000,0.0,100100.0,100100.0,110.11,10.01,-100.1,amount_diff,fill quantity difference
2025-04-01,002848.XSHE,sell,5.69,5.69,0.0,0,17600,17600,0.0,100144.0,100144.0,110.16,10.01,-100.14999999999999,amount_diff,fill quantity difference
2025-04-01,002856.XSHE,sell,8.52,8.52,0.0,0,11900,11900,0.0,101388.0,101388.0,111.53,10.14,-101.39,amount_diff,fill quantity difference
