date,code,side,jq_price,local_price,price_diff,jq_amount,local_amount,amount_diff,jq_value,local_value,value_diff,jq_commission,local_commission,commission_diff,match_status,diff_reason
2026-05-27,600561.XSHG,buy,6.48,,,100,0,-100,648.0,,,,,,missing_in_local,limit down
2026-05-27,301167.XSHE,buy,16.01,,,100,0,-100,1601.0000000000002,,,,,,missing_in_local,limit down
2026-05-27,600697.XSHG,buy,11.63,,,100,0,-100,1163.0,,,,,,missing_in_local,limit down
2026-05-27,300500.XSHE,sell,11.36,,,1600,0,-1600,18176.0,,,,,,missing_in_local,limit down
2026-05-27,600493.XSHG,buy,6.81,,,3000,0,-3000,20430.0,,,,,,missing_in_local,not found in local
2026-05-27,300535.XSHE,buy,17.42,,,1100,0,-1100,19162.000000000004,,,,,,missing_in_local,not found in local
2026-05-27,603879.XSHG,buy,5.3,,,3600,0,-3600,19080.0,,,,,,missing_in_local,limit down
2026-05-27,300605.XSHE,buy,11.52,,,1600,0,-1600,18432.0,,,,,,missing_in_local,not found in local
2026-06-01,301098.XSHE,sell,9.94,,,2100,0,-2100,20874.0,,,,,,missing_in_local,limit down
2026-06-01,300665.XSHE,sell,9.54,,,2000,0,-2000,19080.0,,,,,,missing_in_local,not found in local
2026-06-01,300929.XSHE,buy,12.02,,,200,0,-200,2404.0,,,,,,missing_in_local,limit down
2026-06-01,300405.XSHE,sell,6.4,,,2700,0,-2700,17280.0,,,,,,missing_in_local,limit down
2026-06-01,600561.XSHG,buy,5.99,,,300,0,-300,1797.0,,,,,,missing_in_local,not found in local
2026-06-01,301167.XSHE,buy,15.0,,,100,0,-100,1500.0,,,,,,missing_in_local,limit down
2026-06-01,600697.XSHG,sell,11.35,,,1800,0,-1800,20430.0,,,,,,missing_in_local,not found in local
2026-06-01,300535.XSHE,buy,16.33,,,1200,0,-1200,19595.999999999996,,,,,,missing_in_local,not found in local
2026-06-01,603879.XSHG,buy,4.94,,,3700,0,-3700,18278.0,,,,,,missing_in_local,limit down
2026-06-01,300605.XSHE,buy,10.96,,,1600,0,-1600,17536.0,,,,,,missing_in_local,not found in local
2026-06-01,300886.XSHE,buy,24.11,,,700,0,-700,16877.0,,,,,,missing_in_local,not found in local
2026-06-04,301098.XSHE,sell,9.09,,,1400,0,-1400,12726.0,,,,,,missing_in_local,limit down
2026-06-04,600455.XSHG,buy,25.7,,,100,0,-100,2570.0,,,,,,missing_in_local,limit down
2026-06-04,300665.XSHE,sell,9.81,,,1900,0,-1900,18639.0,,,,,,missing_in_local,not found in local
2026-06-04,300405.XSHE,buy,6.24,,,2700,0,-2700,16848.0,,,,,,missing_in_local,limit down
2026-06-04,600697.XSHG,sell,11.25,,,100,0,-100,1125.0,,,,,,missing_in_local,limit down
2026-06-04,300535.XSHE,buy,15.66,,,100,0,-100,1566.0,,,,,,missing_in_local,limit down
